Razon Socia,Municipi,Descripcion Tipo Rn,Categori,Subcategori,Estado Rn,Tota,Tip,Precio Minim,Precio Maxim,Recomendacio
FRISBY G83,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,BAR Y RESTAURANTE,ACTIVO,1,,7000,30000,Hamburgesas
SARKU K11,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
SARKU K09,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
BARRA PEI AEROP MATECAÑA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
SAYONARA NO. 2 CIRCUNVALAR,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
SAYONARA NO. 4 PEREIRA PLAZA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY G90,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
SAYONARA NO. 3 VICTORIA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
LA BODEGA BBC ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,BAR Y RESTAURANTE,ACTIVO,1,,7000,30000,Hamburgesas
CREPES Y WAFFLES ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
PASTELERIA LUCERNA UNICENTRO,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY NO.40,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
PASTELERIA LUCERNA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
WINGZ,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,BAR Y RESTAURANTE,ACTIVO,1,,7000,30000,Hamburgesas
KOKORIKO PEREIRA EL LAGO,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY Q48,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
DON JEDIONDO SOPITAS Y PARRILLA S A S,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
MC DONALD`S CIRCUNVALAR PEREIRA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
MC DONALD`S ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
ARCHIE`S ARBOLEDA,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,BAR Y RESTAURANTE,BAR Y RESTAURANTE,ACTIVO,1,,7000,30000,Hamburgesas
FRISBY NO.44,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
FRISBY NO.1,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
PIZZAS PICCOLO CIRCUNVALAR,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
G GRAJALES AUTOSERVICIO PLAZA BOLIVAR,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
G. GRAJALES AUTOSERVICIOS PRINCIPAL,PEREIRA,ESTABLECIMIENTO DE GASTRONOMÍA Y SIMILARES,RESTAURANTE,RESTAURANTE,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL IMPERIO LA 16,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
DAM HOTEL PEREIRA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL EJECUTIVO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CUMANDAY (PEREIRA),PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL MANANTIAL RESORT Y CENTRO DE CONVENCIONES,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
CASA RURAL BENELUX,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
BEE HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CASTELLON PLAZA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
FINCA JUANCHITO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,HOSTAL,ACTIVO,1,,0,0,NO OFRECE
HOTEL GOLDEN SUITE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
ECOHOTEL BARRANQUERO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL LA COSECHA DEL CAFE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
CASA BRISA DE MONTOÑA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL DOÑA MERY,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL SAN JOAQUIN PLAZA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL EL CABLE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL EJE DEL CAFÉ,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL PEREIRA EMPRESARIAL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL SAN MATHEWS,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL & CLUB MONACO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL PARADISE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL Y CENTRO EJECUTIVO MEDITERRANEE PEREIRA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
APARTAHOTEL 2 22,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,APARTAHOTEL,APARTAHOTEL,ACTIVO,1,,0,0,
HOTEL EJE CAFETERO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
GO HOTELES SAS,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL DUBAY,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
NOGAL HOSTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,APARTAHOTEL,APARTAHOTEL,ACTIVO,1,,0,0,
HOTEL Z3,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
RESERVA NATURAL GUADALUPE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,CAMPAMENTO,CAMPAMENTO,ACTIVO,1,,0,0,
COTINGA HOTEL SPA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CATALINA PLAZA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
AXO - HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL EMPIRE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
KAPITAL SUITES,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,APARTAHOTEL,APARTAHOTEL,ACTIVO,1,,0,0,
ALBORE HOSTEL PEREIRA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
MEGA - HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL DON CAMILO PEREIRA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
ECOHOTEL FINCA VILLA MARIELA VEREDA LA SIRIA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,APARTAHOTEL,APARTAHOTEL,ACTIVO,1,,0,0,
HOTEL GRAND PALACE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
ECOHOTEL TEOCALLI,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL MEDELLIN RA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,HOSTAL,ACTIVO,1,,0,0,NO OFRECE
OTUN PLAZA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CAMPESTRE TRIBUNAS DEL VIENTO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL ROSALES GOLD,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL H. B.,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
ECOTERMALES SAN VICENTE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,CENTRO VACACIONAL,CENTRO VACACIONAL,ACTIVO,1,,0,0,
HOTEL DON PANCHO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
COMBIA MOUNTAIN COFFEE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,HOSTAL,ACTIVO,1,,0,0,NO OFRECE
HOTEL ALCUARA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL SAJONIA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOSPEDAJE GOLDEN,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,HOSTAL,ACTIVO,1,,0,0,NO OFRECE
HOSPEDAJE SAN CARLOS,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CARRIQUI,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
SANTORINI APARTAMENTOS AMOBLADOS,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,APARTAHOTEL,APARTAHOTEL,ACTIVO,1,,0,0,
ALOJAMIENTO Y EVENTOS SANTA ISABEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL ALAMOS DEL PARQUE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL EL LAGO NO 1,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL PEREIRA 4/21,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
LUMA PLAZA HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
VICTORIA PLAZAS HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CERRITOS PLAZA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL LA COMARCA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
BAYIT TOV CIRCUNVALAR HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL ÁGATA - LODGING HOUSE PINARES ALTO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL LA FRESA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOSTAL LA MANZANA APPLE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,HOSTAL,ACTIVO,1,,0,0,NO OFRECE
CASA SAN CARLOS LODGE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL BALCONES DEL LAGO PEREIRA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL EXITO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
SIMON PLAZA HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
9/25 HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
PARCEROS GROUP,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,HOSTAL,ACTIVO,1,,0,0,NO OFRECE
HOTEL EL ENCANTO LLANERO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CUBAPLAZA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
SYVANNA HOTEL,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL LA 29,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL POLO,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL HACIENDA SAN JOSE SAS,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL OLIMPA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
SAN ANTONIO DEL CERRO BOUTIQUE HOTEL & SPA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL DON QUIJOTE,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL J.J.C,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL CATALUÑA PEREIRA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
MH HOTELES PEREIRA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL VICTORIA CUBA,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
HOTEL SHALOM # 2,PEREIRA,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,HOTEL,ACTIVO,1,,6000,5000,Platos a la carta
